borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,Year
MN,1896,65,109,205,2000,03,7,10025,E047,26,8800,1,1A,2941 BROADWAY,R8,,,,C1-4,,,,,,N,D6,04,0,,TRUSTEES OF COLUMBIA UNIVERSITY,12614,126478,12184,114294,0,8000,0,0,0,4184,2,0001,12,94,96,100.92,125.00,100.00,112.00,N,2,N,3,2,720000,4560750,4013460,1912,0,0,,,10.03,6.02,0,6.5,1,1018960065,,0205,994029,233549,40.8077084599924,-73.9646754339568,5c,,107N063,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000006000000A9E31418C27D52C07F79E8B1616744403D10D711BF7D52C01D3266FC69674440F1F59BC5BD7D52C00E11EFE7686744404C35875FB87D52C0AA46D6696467444066ECC465BB7D52C0D1F1591F5C674440A9E31418C27D52C07F79E8B161674440,,,2020
MN,1990,10,109,205,1009,03,7,10027,E047,26,8800,1,1Q,21 CLAREMONT AVENUE,R8,,,,,,,,,,N,D3,03,0,,TRUSTEES OF COLUMBIA UNIVERSITY,8400,58750,2000,56750,2000,0,0,0,0,0,2,0001,10,47,47,84.00,100.00,84.00,94.00,N,2,N,5,1,194400,2228850,2050542,1910,1988,1993,Morningside Heights Historic District,,6.99,6.02,0,6.5,1,1019900010,,0205,994042,234134,40.809314108539,-73.9646276208953,5c,,107N064,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000006000000DAFBCC97B87D52C0847D3FC798674440F9054404BB7D52C0B9986C28926744402B0F7A4CBE7D52C0A11201E694674440FFDB1749C07D52C011B8B18E9667444017D2A2DCBD7D52C0708E832D9D674440DAFBCC97B87D52C0847D3FC798674440,,,2020
MN,1895,63,109,199,1000,03,7,10025,E047,26,2310,1,1A,WEST 114 STREET,R8,,,,,,,,,,N,V1,11,0,,TRUSTEES OF COLUMBIA UNIVERSITY,2592,0,,,,,,,,,7,0,0,0,0,25.92,100.00,0,0,,0,N,5,5,329400,329400,0,0,0,0,,,0.00,6.02,0,6.5,1,1018950063,,0199,993779,233207,40.8067700377089,-73.9655789913527,5c,,107N063,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E610000001000000010300000001000000060000009F367CEFC97D52C04DD445B847674440048BE9BFCA7D52C0D714DE7C456744402A5AAECECC7D52C05DBAAED83F67444061EE2115CE7D52C0179C7DE9406744406500F035CB7D52C072E516C9486744409F367CEFC97D52C04DD445B847674440,,,2020
MN,1990,22,109,205,1009,03,7,10027,E047,26,8800,1,1Q,29 CLAREMONT AVENUE,R8,,,,,,,,,,N,D3,03,0,,TRUSTEES OF COLUMBIA UNIVERSITY,5668,42691,0,42691,0,0,0,0,0,0,2,0001,11,22,22,56.67,100.00,57.00,80.00,N,3,N,5,2,135900,1370250,1219523,1910,0,0,Morningside Heights Historic District,,7.53,6.02,0,6.5,1,1019900022,,0205,994114,234264,40.8096708423761,-73.9643673388743,5c,,107N064,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E610000001000000010300000001000000050000000C490998BB7D52C0EDB76F5FA3674440CB84C8FBB97D52C021AC82C5A76744406F84F1B6B47D52C00C343D5FA3674440610A3453B67D52C01EE628F99E6744400C490998BB7D52C0EDB76F5FA3674440,,,2020
MN,1867,29,109,201.01,1002,03,7,10025,E047,26,1800,1,1B,WEST 115 STREET,R8,,,,,,,,,,N,G7,10,0,X,TRUSTEES OF COLUMBIAUNIVERSITY IN THE CI TY OF NY,6500,0,,,,,,,,,7,0,0,0,0,65.33,100.92,0.00,0.00,,0,Y,5,5,482850,482850,482850,0,0,0,,,0.00,6.02,0,6.5,1,1018670029,,020101,995188,232724,40.8054427040233,-73.9604901366637,5c,,107N067,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000006000000D9D6F895757D52C0286AFC871B674440EA272382787D52C0C9F9466D13674440B83D5FA47A7D52C0779BC138156744400A3EC8AD7B7D52C0432705181667444001EB9BC1787D52C01229BD321E674440D9D6F895757D52C0286AFC871B674440,,,2020
MN,1867,31,109,201.01,1002,03,7,10025,E047,26,1800,1,1B,410 WEST 115 STREET,R8,,,,,,,,,,N,V1,11,0,X,TRUSTEES OF COLUMBIA UNIVERSITY,3364,0,,,,,,,,,7,0001,0,0,0,33.33,100.92,0,0,,0,N,5,5,409500,409500,409500,0,0,0,,,0.00,6.02,0,6.5,1,1018670031,,020101,995119,232763,40.8055498334207,-73.9607393128921,5c,,107N067,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000500000040D8AF667A7D52C001ADEF941F674440F29DDA527D7D52C08C45397A1767444046AB45187F7D52C090B89EF71867444098EC192C7C7D52C0D46957122167444040D8AF667A7D52C001ADEF941F674440,,,2020
MN,1998,3,109,219,1008,05,7,10027,E080,26,1100,1,2A,2307 JOE DIMAGGIO HIGHWAY,C6-1,,,,,,MMU,,,,N,V1,11,0,X,TRUSTEES OF COLUMBIA UNIVERSITY,6992,0,,,,,,,,,7,0,0,0,0,69.92,100.00,0,0,,0,N,5,5,424350,424350,424350,0,0,0,,,0.00,3.44,6,6.5,1,1019980003,,0219,995513,237610,40.8188530039221,-73.9593079845256,5c,,111S002,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E610000001000000010300000001000000050000006DF85B77617D52C0927C4D98D0684440B4F62C7B637D52C0E93AF617CB684440A1397F1C697D52C00FC3A6D8CF684440029AAD18677D52C0D9BA0059D56844406DF85B77617D52C0927C4D98D0684440,,,2020
MN,1996,14,109,219,1010,05,7,10027,E037,26,1100,1,2A,637 WEST 125 STREET,C6-1,,,,,,MMU,,,,N,V1,11,0,,THE TRUSTEES OF COLUMBIA UNIVERSITY,23707,0,,,,,,,,,7,0,0,0,0,166.73,195.20,0,0,,0,N,4,5,1857150,1857150,1782864,0,0,0,,,0.00,3.44,6,6.5,1,1019960014,,0219,995516,237077,40.8173900650731,-73.9592980406091,5c,,107N092,10707,,1019960014,07/15/2015,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000008000000BE0EA6C2617D52C08DD8BF5A9C68444030DAF4C0647D52C04011A0309468444020161EB2657D52C05D38A43D966844404F4030886A7D52C0C80C02C5A068444013DE2611677D52C079E06A38AA68444048E11A68607D52C00758BAAAA4684440BFCAFC1B5F7D52C0D599CC95A3684440BE0EA6C2617D52C08DD8BF5A9C684440,,,2020
MN,1963,60,109,207.01,2000,03,7,10027,E047,26,1800,1,1B,1255 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,W6,08,0,X,TRUSTEES OF COLUMBIA UNIVERSITY,25669,130228,130228,0,0,0,0,0,0,130228,2,0001,11,0,2,155.67,100.00,155.00,90.00,N,2,Y,3,1,1020600,63814050,63814050,2013,0,0,,,5.07,6.02,0,6.5,1,1019630060,,020701,995853,234423,40.810105140488,-73.9580851105786,5c,,107N081,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000A000000293E6B69537D52C0D05D520BAA674440D23BF849527D52C09F03561CAD6744402E493678577D52C0AF9F8680B1674440786AF0EF527D52C08CE13AE1BD674440157F08BF4D7D52C00D797579B967444002216268507D52C0E910B334B2674440B3C1161B4B7D52C067A52AB6AD674440B318D2284B7D52C0E6E2AB90AD6744405EB518194E7D52C0C9E93A8AA5674440293E6B69537D52C0D05D520BAA674440,,,2020
MN,1962,31,109,207.01,1001,03,7,10027,E047,26,1800,1,1R,424 WEST 119 STREET,R8,,,,C1-4,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA UNIVERSITY,11396,53352,0,53352,0,0,0,0,0,0,2,0001,6,47,47,100.00,127.00,100.00,111.00,N,2,Y,5,1,200700,2001150,1440828,1925,0,0,,,4.68,6.02,0,6.5,1,1019620031,,020701,995506,233783,40.8083489669416,-73.9593396926871,5c,,107N081,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000007000000D4D81C3E6A7D52C0E10D98A274674440035DF989667D52C052C83DC17E674440EDDCE252617D52C09628FA5E7A674440B7D8534B647D52C0BB6D324172674440B24288E5667D52C04F91337174674440447A3AA1677D52C06EC3567072674440D4D81C3E6A7D52C0E10D98A274674440,,,2020
